Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
ACS Armoured Car Systems,Allemagne,FRIEDBERG / DERCHING,http://www.acs-armoured-cars.com/,https://www.linkedin.com/company/acs-armoured-car-systems-gmbh,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d6225aa2-a665-47e8-8315-0eb09ad8bf8a,Hall 5b / C268,OEM,Ballistic protection,,Vehicles; Ballistic protection,,,,,,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Textile / industrial fabrics; Certification / testing; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",50.0,C,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Ballistic protection.","Hi — ACS Armoured Car Systems ships Vehicles, Ballistic protection to defense customers.",ACS Armoured Car Systems sells armour — they need composites and certified test-houses. Procurement is the buyer.,Keep in watchlist,New,,,Medium
Actemium Bonnétage Automation (AC Automation),France,LE RUSSEY,http://acautomation.fr/,,,Hall 5a / H154,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Actemium Maintenance Auxerre,France,SAINT Bris Le Vineux,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,https://www.linkedin.com/company/actemium-france,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=cb0e7d9c-a0e3-4146-b571-c813ba3c6501,Hall 5a / H154,OEM,Intelligence / ISR,Air defense; UAV / drones; Radar / sensors; AI / data; Logistics / MRO; Engineering services,UAV / drones; Software / Platforms; Logistics equipment; Communications networks; Sensors; Robotics / UGV,Sub-systems / Components; Training; Engineering / consulting,Training; Engineering / consulting,Simulation; Edge computing; Cloud; Robotics / autonomy; Big data / analytics,,France; Germany; United Kingdom; India,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Mechanical parts; Materials; RF / microwave components; Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",80.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Actemium Maintenance Auxerre builds UAV / drones, Software / Platforms (+4) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map Actemium Maintenance Auxerre's integration partners.",Contact sales team and qualify need,New,,,High
ACTIA AEROSPACE,France,TOULOUSE CEDEX 4,https://aerospace.actia.com/,,,Hall 4 / G218,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
ACTinBlack Europe SARL,Luxembourg,FOETZ,http://www.actinblack.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=6bbfb9a9-bb9f-4dd9-aae0-ec83a7ce9d26,Hall 5a / C156,OEM,Soldier systems,Land defense; Optics / optronics; Logistics / MRO,Optronics / Optics; Soldier equipment; Energy / batteries,Maintenance / MRO,Maintenance / MRO,,Land forces,United States,Acheteur potentiel,Electronic components,"Composite materials; Mechanical parts; Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",65.3,B,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed ACTinBlack Europe SARL builds Optronics / Optics, Soldier equipment (+1) for Soldier systems.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.",Review website and validate opportunity,New,,,High
ADDEV Materials,France,PORTET-SUR-GARONNE,http://addevmaterials.com/,https://www.linkedin.com/company/addevmaterials-aerospace/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=320aa0fc-c8e6-4acf-aa5a-6cc92167362c,Hall 4 / C255,OEM,Space / satellite,Land defense; Logistics / MRO,Sensors; Logistics equipment; Engines / propulsion; Communications networks; Satellites / Space,Sub-systems / Components; Maintenance / MRO; Finished products; Engineering / consulting,Maintenance / MRO; Engineering / consulting,Lidar / Laser,Aerospace primes,Europe; France; Germany; United Kingdom; United States; Africa; India; Asia,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Mechanical parts; Materials; Communications networks; Materials (high temperature alloys); RF / microwave components; Cybersecurity solutions; Sensors; Launch services; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",77.0,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ADDEV Materials builds Sensors, Logistics equipment (+3) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
ADDITESS,Cyprus,NICOSIA,https://additess.com/,https://www.linkedin.com/company/4872752/admin/feed/posts/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=582c1260-010a-45de-99ce-ee1abbf303af,Hall 5b / C205,Intégrateur,Intelligence / ISR,Homeland security; Cybersecurity; C4ISR; UAV / drones; Ammunition; Optics / optronics; Electronic warfare; Radar / sensors; AI / data; Dual-use technology; Export / distribution; NRBC / CBRN; Space / satellite,UAV / drones; Software / Platforms; Vehicles; Communications networks; Satellites / Space; Sensors; Radars; Optronics / Optics; Ammunition; Cybersecurity solutions; NRBC / CBRN,Engineering / consulting; Software licenses; Sub-systems / Components; Training; Distribution / agency; Certification / testing,Engineering / consulting; Training; Distribution / agency; Certification / testing,Artificial intelligence; Cybersecurity; Robotics / autonomy; Cloud; 5G / wireless; GNSS / GPS; Cryptography,Border / customs; Defense ministries; Police / law enforcement; Critical infrastructure,Europe; France; Middle East; NATO,Acheteur potentiel,Energy / batteries,Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Mechanical parts; Ballistic protection; RF / microwave components; Launch services; Electronic components; Energetic materials; Packaging; Hardware appliances,82.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ADDITESS builds UAV / drones, Software / Platforms (+9) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ADDITESS's integration partners.",Contact sales team and qualify need,New,,,High
ADDUP,France,CEBAZAT,https://addupsolutions.com/fr/,https://www.linkedin.com/company/addup/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=83123515-f4f3-402f-84eb-ebe316e6b450,Hall 6 / BC154,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",14.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ADDUP at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ADNEC - UAE National Pavilion,Émirats arabes unis,ABU DHABI,http://www.adnecgroup.ae/,https://www.linkedin.com/company/adnecgroup/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=03c66424-10f1-4f07-ac10-100ad4a2c54f,Hall 5a / G415,OEM,Intelligence / ISR,Land defense; Air defense; Naval defense; UAV / drones; Counter-UAV; Armored vehicles; Weapons; Ammunition; Optics / optronics; Electronic warfare; Radar / sensors; Logistics / MRO,Vehicles; Communications networks; UAV / drones; Counter-UAV systems; Radars; Optronics / Optics; Weapons; Ammunition; Naval systems,Finished products,,5G / wireless; Artificial intelligence; Cybersecurity; Simulation; Robotics / autonomy,Defense ministries; Aerospace primes,Asia; Middle East; Africa; Asia-Pacific,Acheteur potentiel,Engines / propulsion,Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; RF / microwave components; Embedded systems; Cybersecurity solutions; Energy / batteries; Radars; RF / microwave; AI platforms; Electronic components; Ammunition components; Energetic materials; Packaging,81.0,A,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.","Hi — ADNEC - UAE National Pavilion ships Vehicles, Communications networks (+7) to Defense ministries, Aerospace primes.",ADNEC - UAE National Pavilion's ISR offer needs sensor primes and data-fusion suppliers. Engineering / programme is the buyer.,Contact sales team and qualify need,New,,,High
ADR,France,THOMERY,http://adr-alcen.com/,https://fr.linkedin.com/company/adr-alcen,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=93bdeba8-1907-4ba6-8943-1a1c89feba3d,Hall 4 / C24,OEM,Soldier systems,Ammunition; Optics / optronics; Radar / sensors; Logistics / MRO,Communications networks; Sensors; Engines / propulsion; Optronics / Optics; Vehicles; Soldier equipment; Ammunition; Mechanical parts,Sub-systems / Components; Integration services,,RF / microwave; Composites,Aerospace primes,France; Germany; United Kingdom; United States; Africa; India,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Electronic components; Composite materials; Mechanical parts; Materials (high temperature alloys); Engines / propulsion; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Textile / industrial fabrics; Energy / batteries; Energetic materials; Packaging; Raw materials (steel, aluminium); Industrial subcontracting / machining",76.0,A,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed ADR builds Communications networks, Sensors (+6) for Soldier systems.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.",Contact sales team and qualify need,New,,,High
ADS Group Limited,Royaume-Uni,HAMPSHIRE,http://www.adsgroup.org.uk/,https://www.linkedin.com/company/ads-group-ltd/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=22d32f84-7651-4b03-9457-c056bac5edf0,Hall 5a / B396,Intégrateur,Cybersecurity,Homeland security; Logistics / MRO; Engineering services; Dual-use technology; Export / distribution,Cybersecurity solutions; Communications networks; Software / Platforms; Vehicles; Energy / batteries; Engines / propulsion; Embedded systems,Sub-systems / Components; Engineering / consulting; Training; Finished products; Distribution / agency,Engineering / consulting; Training; Distribution / agency,Cloud; Additive manufacturing; Lidar / Laser; Robotics / autonomy; Big data / analytics; Composites,Aerospace primes; Defense ministries; Critical infrastructure; Police / law enforcement; Navy,Europe; United Kingdom; France; Germany; United States,Acheteur potentiel,Cloud / data services,"Hardware appliances; Threat intelligence feeds; RF / microwave components; Embedded systems; Cybersecurity solutions; AI platforms; Engines / propulsion; Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials (Li-ion, electrolytes); Materials (high temperature alloys); Electronic components; Industrial subcontracting / machining",84.5,A,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed ADS Group Limited builds Cybersecurity solutions, Communications networks (+5) for Cybersecurity.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.",Contact sales team and qualify need,New,,,High
ADV Defense,Lituanie,Vilnius,http://www.advdefense.lt/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=23458a1a-f348-430d-8323-6a5db845cedd,Hall 5a / K221,OEM,UAV / drones,Electronic warfare; Radar / sensors,UAV / drones; Software / Platforms; Robotics / UGV; Logistics equipment; Engines / propulsion; Sensors,Sub-systems / Components,,Cloud; Robotics / autonomy; GNSS / GPS; 5G / wireless,,Europe,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Electronic components; Mechanical parts; Materials; Materials (high temperature alloys); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",69.5,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ADV Defense builds UAV / drones, Software / Platforms (+4) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
