exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
49,AEC Skyline,Netherlands,http://www.aec-skyline.com/,,Serving various armed forces and public security organisations by delivering specialised contract air support while at the same time prov…,Tier 1,,Systèmes C2 & C4ISR,certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"MoD / Armées, Sécurité civile, Primes défense",cloud · 5G / sans-fil · Lidar / Laser · robotique / autonomie · cybersécurité,Cloud & cloud souverain · 5G / réseaux radio mobiles · Lidar / Laser · Robotique & autonomie · Cybersécurité,Prestataire potentiel de certification / tests pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
50,Aedus Space Ltd.,Hungary,https://aedusspace.com/aedusspace.html,,"Conçoit et fabrique des composants spatiaux (panneaux solaires, mécanismes) pour satellites militaires et civils hongrois.",OEM,panneaux solaires satellite · mécanismes spatiaux · structures CubeSat,Satellites & CubeSats,ingénierie satellite,Ingénierie & conseil,"MoD / Armées, Industriels défense",composants spatiaux,Autre — à qualifier,Niche hongroise sur composants spatiaux — partenaire pour intégrateurs satellite cherchant des fournisseurs Europe centrale.,100,manual
51,Aeffe srl Keelcrab,Italy,https://www.keelcrab.com/,,"Conçoit et fabrique des drones aériens, robots terrestres (UGV), équipement logistique.",OEM,drones aériens · robots terrestres (UGV) · équipement logistique · moteurs / propulsion · réseaux de communication,Drones aériens (UAV) · Robots terrestres (UGV / EOD) · Logistique militaire & transport · Moteurs aéronautiques · Réseaux militaires (5G/P-LTE/MANET),certification / tests,Certification & tests,"MoD / Armées, Export / international",robotique / autonomie,Robotique & autonomie,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
52,AERIADES,France,http://aeriades.fr/,,Représente le tissu industriel défense et facilite la coopération internationale.,Tier 3,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,"Représentation institutionnelle (cluster, fédération, chambre) · Textiles techniques tactiques · Pièces mécaniques & usinage",formation · ingénierie / conseil · certification / tests,Formation & entraînement · Ingénierie & conseil · Certification & tests,"Industriels défense, Export / international, Primes défense",,,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,medium
53,AERIX SYSTEMS,France,https://www.aerix-systems.com/,,Aerix Systems développe un nouveau type de propulsion omnidirectionnelle permettant la création de drones.,OEM,,Drones aériens (UAV),,,"Primes défense, Sécurité civile",robotique / autonomie,Robotique & autonomie,Cible commerciale sur le segment primes défense — à qualifier sur portefeuille produit / services.,80,high
54,AERO CONCEPT ENGINEERING,France,https://www.aero-ce.com/,,"Qu’ils soient terrestres ou volants, blindés ou non, optimisez vos véhicules militaires sur les aspects thermique et aérodynamique.",OEM,véhicules militaires · drones aériens · pièces mécaniques · logiciels métier défense · batteries / sources d'énergie,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Pièces mécaniques & usinage · Logiciels métier défense (autres) · Batteries & packs énergétiques,formation · certification / tests · ingénierie / conseil,Formation & entraînement · Certification & tests · Ingénierie & conseil,MoD / Armées,simulation · Lidar / Laser,Navigation inertielle · Simulation & VR/AR · Lidar / Laser,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
55,AEROCENTRE,France,https://aero-centre.fr/,,"Aérocentre, pôle d’excellence régional créé afin de développer et pérenniser la filière aéronautique en région Centre-Val de Loire.",OEM,équipement logistique · moteurs / propulsion · logiciels métier défense · drones aériens · pièces mécaniques,Logistique militaire & transport · Moteurs aéronautiques · Logiciels métier défense (autres) · Drones aériens (UAV) · Pièces mécaniques & usinage,ingénierie / conseil · formation · certification / tests · sous-traitance,Ingénierie & conseil · Formation & entraînement · Certification & tests · Sous-traitance industrielle,Primes défense,moteurs aéronautiques · cloud · IA / vision · vol autonome,Cloud & cloud souverain · IA / machine learning · Robotique & autonomie · Vol autonome & GPS-denied,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
56,AEROGLOW INTERNATIONAL,United-Kingdom,https://www.aeroglowinternational.com/,,"Conçoit et fabrique des marquages photoluminescents et systèmes de signalisation d'urgence pour navires, sous-marins et infrastructures critiques.",OEM,marquages photoluminescents LLL · panneaux d'évacuation marins · balisage tactique · rubans réfléchissants IR,"Navires & sous-systèmes navals · Mâts, signalisation & balisage",installation à bord · certification SOLAS / militaire,Certification & tests,"MoD / Armées, Sécurité civile, Export / international",photoluminescence longue durée · marquages IR signature contrôlée,Autre — à qualifier,Fournisseur de niche sur le marquage tactique IR — cible export chez chantiers navals défense et constructeurs de sous-marins.,85,manual
57,Aeron Systems Pvt Ltd,India,https://aeronsystems.com/,,Aeron Systems - a leading provider of navigation systems and IoT devices to a global clientele.,Tier 1,,Avionique & instruments embarqués,services cloud / données · certification / tests,Services cloud & data · Certification & tests,"MoD / Armées, Primes défense, Sécurité civile",cloud · 5G / sans-fil · RF / micro-ondes · GNSS / GPS · robotique / autonomie,Cloud & cloud souverain · 5G / réseaux radio mobiles · Communications RF / micro-ondes · GNSS / navigation satellite · Robotique & autonomie,Prestataire potentiel de services cloud / données pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
58,AERONAUTICS GROUP,Israel,http://www.aeronautics-sys.com/,,"Leader sur designing, developing and manufacturing Unmanned Aerial Systems (UAS) for the global defense & HLS mark.",OEM,,"Drones aériens (UAV) · Représentation institutionnelle (cluster, fédération, chambre)",,,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
59,AEROSPACE & DEFENCE,France,https://www.acmh.fr/,,"Conçoit et fabrique des conteneurs durcis pour l'armée, l'industrie, le spatial et l'humanitaire (ACMH Honfleur).",Tier 3,conteneurs militaires durcis · shelters tactiques · modules logistiques sur-mesure · conteneurs spatiaux,"Conteneurs, malles, shelters",intégration équipements · logistique projection,Intégration de systèmes,"MoD / Armées, Sécurité civile, Industriels défense",shelters durcis,Autre — à qualifier,"Fabricant français de conteneurs militaires (Honfleur) — partenaire pour la projection de matériel sensible (avionique, optronique, NRBC).",100,manual
60,AEROVIRONMENT (AV),USA,http://www.avinc.com/,,"A defense technology leader delivering integrated capabilities across air, land, sea, space, and cyber.",OEM,,Munitions petit/moyen calibre · Systèmes de guerre électronique (EW) · Drones aériens (UAV) · Satellites & CubeSats,intégration de systèmes,Intégration de systèmes,"MoD / Armées, Sécurité civile",RF / micro-ondes · Lidar / Laser · robotique / autonomie · cloud · 5G / sans-fil,Communications RF / micro-ondes · Lidar / Laser · Robotique & autonomie · Cloud & cloud souverain · 5G / réseaux radio mobiles,Prestataire potentiel de intégration de systèmes pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
61,AERTEC,Spain,https://www.aertecsolutions.com/,,"Conçoit et fabrique des drones aériens, capteurs embarqués, équipement logistique pour forces de sécurité.",OEM,drones aériens · capteurs embarqués · équipement logistique · moteurs / propulsion,Drones aériens (UAV) · Capteurs embarqués (généraux) · Logistique militaire & transport · Moteurs aéronautiques,certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Sécurité civile, Primes défense",simulation,Navigation inertielle · Simulation & VR/AR,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,high
62,Africa Global Logistics,France,https://www.aglgroup.com/,,"Opère un réseau logistique multimodal (maritime, portuaire, ferroviaire, transit) couvrant 47 pays africains.",N/A,,Logistique militaire & transport,transit & commission de transport · logistique portuaire & manutention · logistique ferroviaire · transport maritime & shipping · supply chain projets industriels,Logistique militaire & transit · Distribution & représentation,"Export / international, MoD / Armées, Primes défense",,Autre — à qualifier,"Canal logistique incontournable pour acheminer véhicules, conteneurs et équipements défense vers les théâtres et clients export en Afrique.",65,manual
63,AFRY,Sweden,,,"Conseille en ingénierie et conduit des programmes pour la défense, l'énergie et les infrastructures critiques.",N/A,,Autre — à qualifier,ingénierie & conseil · gestion de programmes complexes · audits cybersécurité OT · R&D sur contrat,Ingénierie & conseil · Audit & cybersécurité OT · Conseil en gestion de programme,"MoD / Armées, Industriels défense, Sécurité civile",cybersécurité OT · ingénierie systèmes,Cybersécurité OT / ICS,Cabinet d'ingénierie nordique — partenaire/canal potentiel pour porter des prestations défense françaises auprès des MoD scandinaves et industriels locaux.,65,manual
